name,action,recycle_for,keep_for,sell_price,stack_size
Trigger 'Nade,Use,"1x Chemicals, 1x Processor",Quick Use consumable,1000,3
Tropical Duck,Sell,,,1000,15
Turbo Pump,Recycle if short on materials; Sell otherwise,"1x Mechanical Components, 3x Oil",,2000,3
Unusable Weapon,Recycle if short on materials; Sell otherwise,"4x Metal Parts, 5x Simple Gun Parts",,2000,3
Vase,Sell,,,3000,3
Vertical Grip I,Keep,6x Plastic Parts,Equippable Mods,640,1
Vertical Grip II,Keep,"1x Duct Tape, 1x Mechanical Components",Equippable Mods,2000,1
Vertical Grip III,Keep,"2x Duct Tape, 2x Mechanical Components",Equippable Mods,5000,1
Very Comfortable Pillow,Keep for Scrappy Level V Upgrade; sell afterwards,,3x for Scrappy Level V Upgrade,2000,3
Vita Shot,Use,"1x Syringe, 4x Chemicals",Quick Use consumable,2200,3
Vita Spray,Use,"1x Antiseptic, 1x Canister",Quick Use consumable,3400,1
Volcanic Rock,Sell,,,270,5
Voltage Converter,Keep,"1x Wires, 1x Rubber Parts",Projects Weather Monitor System (3x),500,5
Wasp Driver,Keep; sell or recycle after upgrade is complete,"1x ARC Alloy, 1x Electrical Components",8x for Gunsmith II Upgrade,640,3
Water Filter,Recycle if short on materials; Sell otherwise,"2x Rubber Parts, 3x Canister",,1000,3
Water Pump,Keep until quest is complete; recycle or sell,"4x Metal Parts, 2x Oil",1x for Unexpected Initiative,1000,3
Wires,Keep,2x Rubber Parts,30x Expedition Stage 2,200,15
Wolfpack,Use,"1x ARC Motion Core, 1x Explosive Compound",Quick Use consumable,6000,1
Yellow Light Stick,Use,1x Chemicals,Quick Use consumable,150,5
Zipline,Use,"1x Metal Parts, 1x Rope",Quick Use consumable,1000,3
